command	fromState	toState	replayPolicy
CREATE_DRAFT	NONE	DRAFT_HELD	REPLAY_SAME_RESULT
PAYMENT_FAILED	DRAFT_HELD	PAYMENT_FAILED_RETRYABLE	REPLAY_SAME_RESULT
PAY_CARD	DRAFT_HELD|PAYMENT_FAILED_RETRYABLE	PAID_CONFIRMED	REPLAY_SAME_RESULT
PLACE_COUNTER	DRAFT_HELD	COUNTER_AWAITING_PAYMENT	REPLAY_SAME_RESULT
COLLECT_COUNTER	COUNTER_AWAITING_PAYMENT	PAID_CONFIRMED	REPLAY_SAME_RESULT
CANCEL	DRAFT_HELD|PAYMENT_FAILED_RETRYABLE|COUNTER_AWAITING_PAYMENT	CANCELLED_UNPAID	TERMINAL_NOOP
EXPIRE	DRAFT_HELD|PAYMENT_FAILED_RETRYABLE|COUNTER_AWAITING_PAYMENT	CANCELLED_UNPAID	TERMINAL_NOOP
CHECK_IN	PAID_CONFIRMED	PAID_REDEEMED	REPLAY_SAME_RESULT
CHECK_IN_OVERRIDE	PAID_CONFIRMED	PAID_REDEEMED	REPLAY_SAME_RESULT
REFUND_FULL	PAID_CONFIRMED|PAID_REDEEMED|COMPLETED_LEGACY	FULLY_REFUNDED	REPLAY_SAME_RESULT
REJECT_REFUND	ANY	UNCHANGED	REPLAY_SAME_RESULT
RESOLVE_APPEAL	ANY	UNCHANGED	REPLAY_SAME_RESULT
